NO,Original ASF,Rounding ASF,Payment Method_encoded,Channel_encoded,Order ID_encoded,SLS Tracking Number_encoded,Shopee Order SN_encoded,Sort Code Name_encoded,SOC Received time_encoded,OnHoldReason_encoded,Status_encoded,Order Account_encoded,Current Station_encoded,Pickup Station_encoded,Destination Station_encoded,Next Station_encoded
864.0,18300.0,18300.0,1,0,634,884,642,95,478,0,3,2,2,12,64,20
865.0,22400.0,22400.0,0,0,902,315,242,185,452,0,1,2,1,72,96,29
866.0,22300.0,22300.0,0,0,107,923,166,295,74,0,2,0,2,35,96,24
867.0,32500.0,32500.0,0,0,429,195,526,145,862,0,2,0,2,52,71,16
868.0,47200.0,47200.0,1,0,504,8,777,220,755,0,2,0,2,52,113,35
869.0,18300.0,18300.0,1,0,942,24,641,196,884,0,2,2,2,52,146,7
870.0,18300.0,18300.0,0,0,386,583,700,238,234,0,1,0,2,120,19,6
871.0,22300.0,22300.0,1,0,590,171,773,9,319,0,3,0,2,120,9,13
872.0,18300.0,18300.0,0,0,688,494,670,217,240,0,1,0,2,120,157,42
873.0,11100.0,11100.0,0,0,656,69,884,218,729,0,1,2,2,17,157,42
874.0,17200.0,17200.0,1,0,364,34,328,83,149,0,2,2,2,90,107,26
875.0,17200.0,17200.0,1,0,565,165,322,83,150,0,3,2,2,90,107,26
876.0,16200.0,16200.0,1,0,600,49,807,236,137,0,3,2,2,90,112,28
877.0,17200.0,17200.0,0,0,692,422,266,15,148,0,0,2,2,90,11,4
878.0,32400.0,32400.0,0,0,726,815,363,153,151,0,3,2,2,90,80,23
879.0,23400.0,23400.0,1,0,1,387,234,149,418,0,3,2,2,124,64,20
880.0,23000.0,23000.0,1,0,475,330,143,79,519,0,4,2,2,124,107,26
881.0,23400.0,23400.0,0,0,626,143,212,291,450,0,0,2,2,124,64,20
882.0,11600.0,11600.0,1,0,941,915,912,33,131,0,2,0,2,94,115,10
883.0,21300.0,21300.0,0,0,815,389,459,288,540,0,3,2,2,39,154,40
884.0,16200.0,16200.0,0,0,31,273,677,178,789,0,2,2,2,52,93,7
885.0,16200.0,16200.0,1,0,111,513,634,49,833,0,2,2,2,52,22,7
886.0,21300.0,21300.0,1,0,209,816,517,200,854,0,2,2,2,52,53,37
887.0,9100.0,9100.0,0,0,371,244,509,2,859,0,3,2,2,52,112,28
888.0,16200.0,16200.0,0,0,690,450,527,194,894,0,2,2,2,52,100,7
889.0,23500.0,23500.0,1,0,733,172,751,139,823,0,2,1,2,52,114,8
890.0,16200.0,16200.0,0,0,736,185,470,126,841,0,2,2,2,52,58,7
891.0,20300.0,20300.0,0,0,759,875,771,199,904,0,2,0,2,52,13,33
892.0,11100.0,11100.0,1,0,760,292,657,66,867,0,2,2,2,52,151,37
893.0,31500.0,31500.0,0,0,12,656,828,92,852,0,2,0,2,52,41,8
894.0,34500.0,34500.0,0,0,36,838,648,201,836,0,3,0,2,52,101,16
895.0,25400.0,25400.0,1,0,56,562,781,133,844,0,2,0,2,52,147,8
896.0,16200.0,16200.0,0,0,71,350,732,67,883,0,2,2,2,52,32,7
897.0,11100.0,11100.0,1,0,75,939,555,218,820,0,3,2,2,52,157,42
898.0,12100.0,12100.0,0,0,110,885,816,300,809,0,2,2,2,52,61,19
899.0,22800.0,22800.0,0,0,123,88,590,242,771,0,2,0,2,52,129,7
900.0,28400.0,28400.0,0,0,132,178,542,114,899,0,2,0,2,52,141,35
901.0,24000.0,24000.0,1,0,162,328,513,290,842,0,2,0,2,52,123,35
902.0,12100.0,12100.0,0,0,164,721,532,239,870,0,2,2,2,52,111,27
903.0,16200.0,16200.0,0,0,185,427,538,100,749,0,2,2,2,52,22,7
904.0,16200.0,16200.0,0,0,187,981,666,271,895,0,2,2,2,52,93,7
905.0,23000.0,23000.0,0,0,244,717,468,193,896,0,2,1,2,52,150,8
906.0,37600.0,37600.0,1,0,253,241,730,45,850,0,2,2,2,52,69,35
907.0,19800.0,19800.0,0,0,263,688,896,81,897,0,2,0,2,52,51,35
908.0,38600.0,38600.0,0,0,265,152,850,140,835,0,2,0,2,52,91,35
909.0,17300.0,17300.0,1,0,281,554,546,252,937,0,2,0,2,52,139,35
910.0,17300.0,17300.0,1,0,309,516,729,203,764,0,2,0,2,52,34,35
911.0,22300.0,22300.0,0,0,327,179,516,168,924,0,0,2,2,52,82,2
912.0,38600.0,38600.0,1,0,329,464,498,140,868,0,2,0,2,52,91,35
913.0,42700.0,42700.0,0,0,331,148,794,280,799,0,2,0,2,52,59,16
914.0,60000.0,60000.0,1,0,335,673,755,267,839,0,0,0,2,52,148,35
